Date,Species,Antibody_status
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
24/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
25/10/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
20/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
21/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
22/11/2007,MN,neg
