ID,Date,Date_EC,DateMission,Mission,Equipe,Pays,Site Region,Site Precis,Latitude (N ou S),GPS,GPS_lat_corrigée,Longitude (E ou W),GPS,GPS_long_corrigée,commentaire_GPS,Sexe,Age,Gestante,Lactation,Suitee,ReproStatus,Poids_gr,L_avant_bras_mm,L_totale_corps_mm,Taille_yeux,L_queue_mm,L_metacarpe_3ieme_doigt_mm,Couleur_pelage_dorsal,Couleur_pelage_ventral,ID Mere,Lieu de Capture,Dans:,Proximite du Village,Méthode de capture,Consensus genre,Consensus espèce,Consensus,Consensus famille,Date experiment,Res1NP-ZEBV,Res2NP-ZEBV,RecNP-ZEBV,Res1GP-ZEBVkiss,Res2GP-ZEBVkiss,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,Date experiment,RecNP-ZEBV,RecGP-ZEBVkiss,RecGP-ZEBVmay,RecVP40-ZEBV,RecNP-SEBV,RecGP-SEBV,RecVP40-SEBV,RecGP-BEBV,RecVP40-BEBV,RecGP-REBV,RecGP-BOMV,article 2018,séquence_cytB,séquence_12S,Résultats  RT-qPCR (NIH-pan Filo),PCR NP Zaire,seq NP-Zaire,PCR NP sudan,seq NP-sudan,PCR VP35 Zaire,seq VP35 Zaire
CCCA03999,18/06/2019,6/18/2019,16-Jun-19,Juin,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,465,133,300,undefined,0,75,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,4,0,0,5,6,4,3,22,10,9,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04039,13/07/2019,7/13/2019,17-Jul-19,Juillet,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Adulte immature,,,,MalImm,255,118,240,undefined,0,83,Gris,Gris,-,Ville,ZOO,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,5,0,0,28,276,4,2,30,18,60,908,1084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04051,13/07/2019,7/13/2019,17-Jul-19,Juillet,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,,0,0,0,FemAd,280,123,240,undefined,0,90,Gris,Gris,-,Ville,ZOO,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,3,1,0,582,540,17,3,1978,30,341,18,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04135,18/07/2019,7/18/2019,17-Jul-19,Juillet,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,Juvénile,0,0,0,FemJuv,195,109,205,undefined,0,75,Gris,Gris,-,Ville,ZOO,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,1,0,0,5,0,4,5,2,7,3,39,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04141,18/07/2019,7/18/2019,17-Jul-19,Juillet,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Adulte immature,,,,MalImm,215,119,235,undefined,0,85,Gris,Gris,-,Ville,ZOO,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,0,0,0,5,0,3,1,5,6,1,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04180,14/09/2019,9/14/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,Adulte immature,0,1,0,FemAdImmature,140,105,185,grands,0,72,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,5,6,4,1,17,3,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04182,14/09/2019,9/14/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,Adulte,0,0,0,FemAd,260,121,255,grands,0,85,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,3,1,0,313,263,4,72,1148,15,185,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04184,14/09/2019,9/14/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,135,105,245,grands,0,73,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,19,1,0,429,377,17,6,1829,55,218,12,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04186,14/09/2019,9/14/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Adulte immature,,,,MalImm,125,102,205,grands,0,70,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,17,18,1,5,77,3,13,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04195,16/09/2019,9/16/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Adulte,,,,MalAd,390,134,280,grands,0,96,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,0,0,0,13,89,4,1,116,1,25,0,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04199,16/09/2019,9/16/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,145,107,195,grands,0,74,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,3,0,0,15,9,3,2,61,10,10,3,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04200,16/09/2019,9/16/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,Adulte,0,0,0,FemAd,265,124,0,grands,0,90,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,8,0,0,23,11,38,5,23,56,12,36,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04216,17/09/2019,9/17/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,115,101,185,grands,0,70,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,2,0,0,0,0,3,1,1,6,5,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04217,17/09/2019,9/17/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,125,101,183,grands,0,79,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,5,0,0,98,83,6,5,259,12,68,7,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04221,17/09/2019,9/17/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,105,96,175,grands,0,65,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,8,0,0,56,47,8,2,209,29,37,13,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04222,17/09/2019,9/17/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Male,Juvénile,,,,MalJuv,120,100,183,grands,0,70,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,6,0,0,10,4,6,2,5,20,2,7,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCA04225,20/09/2019,9/20/2019,17-Sep-19,Septembre,Innocent,Cameroun,Yaoundé,Mvog-Betsi,N,3.864,,E,11.48757,,,Femelle,Adulte immature,0,0,0,FemAdImmature,225,117,225,grands,0,85,Gris,Gris,-,Ville,Zoo,0,Filet,Hypsignathus,monstruosus,Hypsignathus monstrosus,,,0,0,3,1,0,277,1614,8,2,2357,11,606,8,683,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
